sport,class,teams,private,pct_private,rec_private_paths,curr_source,priv_sec_mean_current,priv_sec_max_current,priv_sec_mean_proposed,priv_sec_max_proposed,priv_over150_proposed,pub_sec_mean_current,pub_sec_mean_proposed
SOB,1A,172,49,28,2,modeled,28.7,92.8,50.8,162.4,1,31.0,34.2
SOB,2A,152,22,14,1,modeled,17.2,60.3,42.0,242.8,2,23.8,24.4
SOB,3A,135,10,7,1,modeled,10.3,65.5,28.4,109.0,0,21.9,23.9
SOG,1A,134,43,32,3,modeled,22.5,89.8,38.0,120.4,0,31.0,37.1
SOG,2A,147,17,12,1,modeled,18.1,70.1,29.0,164.2,1,24.4,26.4
SOG,3A,116,8,7,1,modeled,8.6,37.0,31.5,109.0,0,22.1,23.2
VBG,1A,249,45,18,1,modeled,26.7,57.3,80.9,220.5,4,35.6,36.6
VBG,2A,162,25,15,1,modeled,30.7,79.6,104.2,146.9,0,31.6,33.0
VBG,3A,150,18,12,1,modeled,19.1,60.3,46.2,214.3,1,23.1,24.9
VBG,4A,141,8,6,1,modeled,5.0,12.9,8.5,21.9,0,24.2,24.9
VBB,S,238,43,18,1,actual,17.6,236.0,48.7,230.8,4,26.4,20.4
BKB,1A,254,43,17,1,modeled,26.3,65.8,81.0,220.5,3,35.4,35.6
BKB,2A,178,27,15,1,modeled,24.7,80.3,104.2,146.9,0,29.9,30.2
BKB,3A,147,18,12,1,modeled,19.5,60.3,29.2,164.2,1,23.2,24.6
BKB,4A,147,10,7,1,modeled,3.5,9.0,6.0,21.8,0,24.2,23.5
BKG,1A,203,34,17,1,modeled,28.8,87.0,61.0,246.2,2,34.2,37.6
BKG,2A,167,30,18,1,modeled,22.1,62.5,89.3,212.2,5,33.3,33.5
BKG,3A,138,14,10,1,modeled,24.6,106.4,46.5,205.3,1,23.0,24.9
BKG,4A,144,10,7,1,modeled,7.8,14.6,11.8,30.6,0,24.1,24.8
CHC,1A,89,12,13,1,modeled,16.3,35.3,73.3,193.7,1,32.5,32.5
CHC,2A,84,13,15,1,modeled,11.6,26.2,13.8,30.6,0,22.8,23.8
CHC,3A,83,4,5,1,modeled,8.2,11.0,9.3,21.8,0,24.0,24.9
DAC,1A,78,14,18,1,modeled,31.4,82.5,72.5,210.9,3,25.2,24.9
DAC,2A,86,8,9,1,modeled,14.2,46.7,13.5,30.6,0,25.2,25.6
DAC,3A,82,3,4,1,modeled,7.5,13.3,12.4,21.8,0,20.3,20.7
BA,1A,173,17,10,1,modeled,26.5,47.2,96.1,246.2,4,34.7,37.4
BA,2A,153,29,19,2,modeled,27.8,80.9,54.3,146.9,0,33.7,37.4
BA,3A,133,19,14,1,modeled,18.3,60.3,38.4,155.0,1,23.4,25.8
BA,4A,149,11,7,1,modeled,14.6,126.0,8.1,28.3,0,23.4,24.1
SBG,1A,174,16,9,1,modeled,34.3,58.5,91.5,220.5,3,34.9,38.5
SBG,2A,143,25,17,1,modeled,29.1,89.4,95.5,200.1,6,34.0,34.6
SBG,3A,112,12,11,1,modeled,7.9,17.2,12.8,26.2,0,23.6,26.4
SBG,4A,140,7,5,1,modeled,6.5,13.3,11.3,33.0,0,23.3,24.6
FLGG,S,216,23,11,1,actual,10.2,42.5,14.2,67.8,0,23.8,20.3
LAXB,S,102,23,23,2,actual,11.2,17.5,10.9,25.8,0,13.7,11.7
LAXG,S,83,18,22,2,actual,10.3,29.1,10.9,27.2,0,32.6,20.0
WPB,S,75,8,11,1,actual,7.4,14.0,2.7,15.6,0,7.6,6.2
WPG,S,72,5,7,1,actual,3.8,11.1,1.3,6.3,0,6.9,6.0
FB,1A,32,1,3,1,modeled,65.5,65.5,0.0,0.0,0,32.6,40.4
FB,2A,32,2,6,1,modeled,11.1,22.1,37.1,74.2,0,27.7,30.8
FB,3A,32,5,16,1,modeled,26.2,65.8,39.1,95.9,0,25.2,30.7
FB,4A,32,5,16,1,modeled,28.1,61.3,78.5,167.3,1,25.6,32.5
FB,5A,32,3,9,1,modeled,9.4,28.2,15.7,25.2,0,21.7,21.4
FB,6A,32,4,13,1,modeled,12.6,24.2,10.0,22.3,0,24.0,24.3
FB,7A,32,3,9,1,modeled,9.3,15.7,11.0,33.0,0,23.2,22.8
FB,8A,32,2,6,1,modeled,1.2,2.5,7.8,15.6,0,15.8,15.3
